syn418	#e51616	1
syn198	#e51616	1
syn294	#e51616	1
syn540	#1be516	3
syn807	#1be516	3
syn317	#e51616	1
syn777	#1be516	3
syn105	#e51616	1
syn253	#e51616	1
syn644	#1be516	3
syn840	#1be516	3
syn622	#1be516	3
syn806	#1be516	3
syn833	#1be516	3

syn315	#e51616	1
syn670	#1be516	3
syn298	#1be516	3
syn653	#1be516	3
syn482	#1be516	3
syn851	#1be516	3
syn376	#e51616	1
syn689	#e51616	1
syn137	#7e16e5	6
syn621	#e51616	1
syn238	#1be516	3
syn657	#1be516	3
syn500	#1be516	3
syn525	#1be516	3
syn281	#1be516	3
syn809	#1be516	3
syn503	#1be516	3
syn659	#1be516	3
syn918	#1be516	3
syn549	#1be516	3
syn909	#1be516	3
syn249	#e1e516	2
syn853	#1be516	3
syn2	#1be516	3
syn656	#1be516	3
syn338	#e1e516	2
syn593	#e51616	1
syn27	#1be516	3
syn344	#1be516	3
syn776	#e1e516	2
syn832	#1be516	3
syn381	#1be516	3
syn747	#1be516	3
syn375	#e51616	1
syn608	#1be516	3
syn826	#e51616	1
syn44	#1be516	3
syn132	#1be516	3
syn1	#1be516	3
syn545	#1be516	3
syn39	#1be516	3
syn394	#1be516	3
syn47	#1be516	3
syn382	#1be516	3
syn203	#1be516	3
syn330	#1be516	3
syn45	#1be516	3
syn651	#1be516	3
syn814	#1be516	3
syn819	#1be516	3
syn228	#1be516	3
syn887	#1be516	3
syn434	#1be516	3
syn885	#1be516	3
syn347	#1be516	3
syn931	#1be516	3
syn361	#1be516	3
syn364	#1be516	3
syn838	#1be516	3
syn448	#1be516	3
syn548	#1be516	3
syn29	#1be516	3
syn694	#1be516	3
syn54	#1be516	3
syn65	#1be516	3
syn800	#1be516	3
syn291	#1be516	3
syn387	#1be516	3
syn200	#1be516	3
syn521	#1be516	3
syn638	#1be516	3
syn537	#1be516	3
syn798	#1be516	3
syn400	#1be516	3
syn443	#1be516	3
syn413	#1be516	3
syn216	#1be516	3
syn259	#e1e516	2
syn140	#1be516	3
syn270	#1be516	3
syn726	#1be516	3
syn202	#1be516	3
syn43	#1be516	3
syn686	#1be516	3
syn433	#1be516	3
syn409	#1be516	3
syn515	#1be516	3
syn431	#1be516	3
syn494	#1be516	3
syn793	#e51616	1
syn352	#e51616	1
syn544	#e51616	1
syn328	#e51616	1
syn730	#e51616	1
syn128	#e51616	1
syn620	#e51616	1
syn149	#e51616	1
syn302	#1be516	3
syn505	#1be516	3
syn107	#e51616	1
syn305	#1be516	3
syn650	#1be516	3
syn4	#1be516	3
syn610	#1be516	3
syn647	#e51616	1
syn408	#1be516	3
syn524	#1be516	3
syn142	#1be516	3
syn874	#1be516	3
syn215	#1be516	3
syn520	#1be516	3
syn283	#1be516	3
syn442	#1be516	3
syn655	#1be516	3
syn271	#1be516	3
syn646	#1be516	3
syn637	#1be516	3
syn527	#1be516	3
syn654	#1be516	3
syn402	#1be516	3
syn665	#1be516	3
syn421	#1be516	3
syn432	#1be516	3
syn145	#1be516	3
syn289	#1be516	3
syn513	#1be516	3
syn664	#1be516	3
syn201	#1be516	3
syn301	#e1e516	2
syn392	#1be516	3
syn640	#1be516	3
syn329	#1be516	3
syn290	#1be516	3
syn517	#1be516	3
syn692	#1be516	3
syn810	#e51616	1
syn666	#1be516	3
syn438	#1be516	3
syn669	#1be516	3
syn672	#1be516	3
syn350	#1682e5	4
syn144	#1be516	3
syn25	#1682e5	4
