syn418	#e58989	1.10
syn198	#e58989	1.10
syn294	#e58989	1.10
syn540	#53e550	3.40
syn807	#61e55e	3.30
syn317	#e58989	1.10
syn777	#53e550	3.40
syn105	#e58989	1.10
syn253	#e58989	1.10
syn644	#1be516	3.90
syn840	#61e55e	3.30
syn622	#8be589	3.10
syn806	#61e55e	3.30
syn833	#53e550	3.40

syn315	#e55050	1.20
syn670	#53e550	3.40
syn298	#61e55e	3.30
syn653	#7de57b	3.100
syn482	#1be516	3.90
syn851	#6fe56d	3.20
syn376	#e58989	1.10
syn689	#e58989	1.10
syn137	#7e16e5	6.20
syn621	#e58989	1.10
syn238	#8be589	3.10
syn657	#61e55e	3.30
syn500	#61e55e	3.30
syn525	#53e550	3.40
syn281	#6fe56d	3.20
syn809	#61e55e	3.30
syn503	#53e550	3.40
syn659	#61e55e	3.30
syn918	#61e55e	3.30
syn549	#1be516	3.90
syn909	#61e55e	3.30
syn249	#e3e56d	2.30
syn853	#61e55e	3.30
syn2	#29e525	3.70
syn656	#1be516	3.90
syn338	#e1e533	2.60
syn593	#e58989	1.10
syn27	#61e55e	3.30
syn344	#1be516	3.90
syn776	#e2e550	2.40
syn832	#53e550	3.40
syn381	#53e550	3.40
syn747	#53e550	3.40
syn375	#e58989	1.10
syn608	#53e550	3.40
syn826	#e55050	1.20
syn44	#53e550	3.40
syn132	#53e550	3.40
syn1	#53e550	3.40
syn545	#53e550	3.40
syn39	#53e550	3.40
syn394	#61e55e	3.30
syn47	#53e550	3.40
syn382	#53e550	3.40
syn203	#53e550	3.40
syn330	#53e550	3.40
syn45	#53e550	3.40
syn651	#53e550	3.40
syn814	#53e550	3.40
syn819	#45e541	3.50
syn228	#45e541	3.50
syn887	#45e541	3.50
syn434	#45e541	3.50
syn885	#45e541	3.50
syn347	#53e550	3.40
syn931	#53e550	3.40
syn361	#53e550	3.40
syn364	#53e550	3.40
syn838	#53e550	3.40
syn448	#53e550	3.40
syn548	#53e550	3.40
syn29	#53e550	3.40
syn694	#61e55e	3.30
syn54	#53e550	3.40
syn65	#53e550	3.40
syn800	#53e550	3.40
syn291	#53e550	3.40
syn387	#53e550	3.40
syn200	#61e55e	3.30
syn521	#61e55e	3.30
syn638	#1be516	3.90
syn537	#53e550	3.40
syn798	#53e550	3.40
syn400	#53e550	3.40
syn443	#53e550	3.40
syn413	#53e550	3.40
syn216	#53e550	3.40
syn259	#e1e533	2.60
syn140	#53e550	3.40
syn270	#53e550	3.40
syn726	#53e550	3.40
syn202	#53e550	3.40
syn43	#53e550	3.40
syn686	#53e550	3.40
syn433	#6fe56d	3.20
syn409	#53e550	3.40
syn515	#53e550	3.40
syn431	#37e533	3.60
syn494	#6fe56d	3.20
syn793	#e58989	1.10
syn352	#e58989	1.10
syn544	#e58989	1.10
syn328	#e58989	1.10
syn730	#e58989	1.10
syn128	#e58989	1.10
syn620	#e58989	1.10
syn149	#e58989	1.10
syn302	#53e550	3.40
syn505	#53e550	3.40
syn107	#e58989	1.10
syn305	#1be516	3.90
syn650	#1be516	3.90
syn4	#53e550	3.40
syn610	#6fe56d	3.20
syn647	#e58989	1.10
syn408	#53e550	3.40
syn524	#53e550	3.40
syn142	#53e550	3.40
syn874	#53e550	3.40
syn215	#61e55e	3.30
syn520	#53e550	3.40
syn283	#61e55e	3.30
syn442	#1be516	3.90
syn655	#61e55e	3.30
syn271	#61e55e	3.30
syn646	#61e55e	3.30
syn637	#61e55e	3.30
syn527	#1be516	3.90
syn654	#61e55e	3.30
syn402	#53e550	3.40
syn665	#61e55e	3.30
syn421	#61e55e	3.30
syn432	#61e55e	3.30
syn145	#53e550	3.40
syn289	#61e55e	3.30
syn513	#1be516	3.90
syn664	#1be516	3.90
syn201	#1be516	3.90
syn301	#e3e56d	2.30
syn392	#61e55e	3.30
syn640	#61e55e	3.30
syn329	#61e55e	3.30
syn290	#61e55e	3.30
syn517	#61e55e	3.30
syn692	#61e55e	3.30
syn810	#e58989	1.10
syn666	#1be516	3.90
syn438	#61e55e	3.30
syn669	#61e55e	3.30
syn672	#61e55e	3.30
